Fecha y Hora,PM1.0 (µg/m³),PM10 (µg/m³),Temperatura (°C),Humedad (%),CO2 (ppm),NH3 (ppm),Alcohol (mg/m³),Benceno (ppm),day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,PM2.5_real,PM2.5_predicho
2025-04-27 06:59:06.153,35,23,26.7,77,158.8,33.84,0.007,0.019,0,0,0,1,0,0,0,35,35.90006280773562
2025-05-04 06:03:56.194,9,6,24.9,76,168.9,56.75,0.028,0.021,0,0,0,1,0,0,0,9,9.685345507023689
2025-04-21 16:41:27.905,16,12,28.0,77,164.7,6.96,0.005,0.022,0,1,0,0,0,0,0,18,17.322870360807777
2025-04-18 04:56:49.537,48,26,25.3,82,1.2,18.62,0.002,0.017,1,0,0,0,0,0,0,49,49.49167731787198
2025-04-28 07:22:27.535,44,26,27.1,81,156.4,39.65,0.008,0.022,0,1,0,0,0,0,0,44,45.47263228727123
2025-05-01 09:06:24.997,41,25,28.5,79,200.3,37.1,0.032,0.019,0,0,0,0,1,0,0,43,42.202421609578515
2025-05-05 18:06:18.663,43,23,29.3,80,202.3,66.73,0.036,0.019,0,1,0,0,0,0,0,48,44.595828594588205
2025-05-05 02:05:10.637,35,19,27.6,89,185.0,63.25,0.012,0.024,0,1,0,0,0,0,0,35,36.96546246124499
2025-04-27 20:21:39.333,15,11,28.0,76,133.4,35.52,0.021,0.02,0,0,0,1,0,0,0,18,16.086653434321075
2025-04-30 21:26:54.286,40,23,28.0,84,218.6,47.93,0.035,0.022,0,0,0,0,0,0,1,43,41.320056254493274
2025-04-26 00:57:11.106,57,28,27.6,87,160.5,21.94,0.017,0.022,0,0,1,0,0,0,0,59,59.35945141895074
2025-04-21 15:41:24.066,20,12,28.5,76,169.8,6.36,0.004,0.021,0,1,0,0,0,0,0,21,21.502096390951596
2025-04-29 01:23:38.923,50,26,27.6,83,150.8,37.45,0.005,0.021,0,0,0,0,0,1,0,51,52.017257435071215
2025-05-03 22:03:25.586,10,7,25.8,76,184.1,62.33,0.029,0.023,0,0,1,0,0,0,0,10,11.19596901769982
2025-04-26 09:57:47.286,16,12,28.5,72,157.2,28.15,0.018,0.019,0,0,1,0,0,0,0,16,17.270098202227285
2025-04-27 00:58:43.103,30,20,27.1,77,158.0,29.93,0.008,0.019,0,0,0,1,0,0,0,33,30.962394751536642
2025-05-03 16:03:02.889,12,8,28.0,73,196.4,63.52,0.03,0.021,0,0,1,0,0,0,0,13,13.345166104673666
2025-04-24 05:53:12.226,29,20,26.7,88,66.6,18.51,0.01,0.019,0,0,0,0,1,0,0,31,30.259299275972396
2025-04-22 03:11:18.006,33,20,26.7,91,241.6,7.74,0.007,0.022,0,0,0,0,0,1,0,35,34.75490843652527
2025-04-30 09:25:50.712,24,17,28.1,72,213.4,42.2,0.004,0.021,0,0,0,0,0,0,1,24,24.86796647835597
2025-04-26 22:58:34.796,27,19,27.1,76,158.8,29.38,0.009,0.016,0,0,1,0,0,0,0,28,28.002932271776636
2025-04-28 09:22:35.184,34,20,28.0,72,143.0,35.18,0.036,0.021,0,1,0,0,0,0,0,37,35.15790559621468
2025-04-20 07:29:09.923,33,20,26.2,85,1.9,29.03,0.004,0.024,0,0,0,1,0,0,0,34,34.62639870106849
2025-04-25 14:23:47.433,32,21,30.2,66,126.3,17.13,0.013,0.02,1,0,0,0,0,0,0,33,33.47303593269437
